iterationName	gameid	time	trialNum	role	block_num	time_in_ms	block	critter	critter_num	species	color	prop1	prop2	tar1	tar2	tar3	internal_prop	eventType
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589061	3	playerA	2	27781	learnCritters	tree	8	jav	#FF8C00	0.2	0.2	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589062	3	playerA	2	27781	learnCritters	tree	9	jav	#FF8C00	0.2	0.2	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589062	3	playerA	2	27781	learnCritters	tree	10	oller	#F52A37	0.2	0.2	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739589063	3	playerA	2	27781	learnCritters	tree	11	oller	#F52A37	0.2	0.2	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643369	4	playerA	3	9640	learnCritters	bird	0	fram	#5CA4DB	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643373	4	playerA	3	9640	learnCritters	bird	1	fram	#5CA4DB	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643374	4	playerA	3	9640	learnCritters	bird	2	fram	#5CA4DB	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643374	4	playerA	3	9640	learnCritters	bird	3	daith	#228C22	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643375	4	playerA	3	9640	learnCritters	bird	4	wug	#FF8C00	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643375	4	playerA	3	9640	learnCritters	bird	5	wug	#FF8C00	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643376	4	playerA	3	9640	learnCritters	bird	6	fram	#5CA4DB	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643376	4	playerA	3	9640	learnCritters	bird	7	wug	#FF8C00	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643378	4	playerA	3	9640	learnCritters	bird	8	wug	#FF8C00	0	0	false	false	false	0	logTrain
