"workerid","col4_crit","species","prop2_crit","trial_num","question","time_in_seconds","prop1_crit","critter","col1_crit","tar1_crit","tar2_crit","col3_crit","col2_crit","col4","col5","col2","col3","col1","response","condition","trial_type","prop1","prop2","col5_crit","tar2","tar1"
8,-99,"rambo","fatness",7,"tar2",4.925,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fdfe00","#d7e514","#cec20a","No","pepsin_detector","learning_trial",0.761977540417,0.452016366767,-99,0,0
8,-99,"wug","fatness",8,"tar1",6.272,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fd1a","#0d4211","#63df41","Yes","pepsin_detector","learning_trial",0.285537285324,0.869569996806,-99,0,1
8,-99,"wug","fatness",9,"tar2",9.219,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fc1b","#22a922","#48fc4c","Yes","pepsin_detector","learning_trial",0.641707061741,0.543255614757,-99,1,1
8,-99,"rambo","fatness",10,"tar2",6.37,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe01","#82f710","#f2fc23","No","pepsin_detector","learning_trial",0.775417500778,0.313459589313,-99,0,1
8,-99,"rambo","fatness",11,"tar2",4.015,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fdfd02","#a4f408","#dfef12","No","pepsin_detector","learning_trial",0.124855213117,0.40470826772,-99,0,0
8,-99,"wug","fatness",12,"tar2",6.603,"height","bird","crest","tail","crest","wing","body",-99,-99,"#02fd1b","#2a973a","#1cf715","No","pepsin_detector","learning_trial",0.244266565638,0.12404719257,-99,0,1
9,-99,"rambo","fatness",1,"tar1",2.699,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fdfd00","#55f708","#ead709","No","pepsin_detector","learning_trial",0.312487284817,0.55033243234,-99,0,0
9,-99,"blicket","fatness",2,"tar1",1.374,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fc4602","#fa6b19","#f65c28","Yes","pepsin_detector","learning_trial",0.0173597028317,0.727402838576,-99,0,1
9,-99,"rambo","fatness",3,"tar2",2.179,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#ee5b10","#dee50d","No","pepsin_detector","learning_trial",0.655881212293,0.966804938883,-99,0,0
9,-99,"blicket","fatness",4,"tar1",1.681,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fe4601","#e9720d","#d34304","Yes","pepsin_detector","learning_trial",0.145077789217,0.353733123433,-99,0,1
9,-99,"rambo","fatness",5,"tar2",2.181,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fdfd00","#b0ea18","#fbeb09","No","pepsin_detector","learning_trial",0.995712321202,0.664684175999,-99,0,0
9,-99,"blicket","fatness",6,"tar1",1.375,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4602","#e84416","#d03c0d","Yes","pepsin_detector","learning_trial",0.0972227891708,0.840929882728,-99,0,1
9,-99,"wug","fatness",7,"tar2",1.425,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fd1a","#0c3106","#07ed12","No","pepsin_detector","learning_trial",0.305810409076,0.0754940718798,-99,0,1
9,-99,"rambo","fatness",8,"tar1",1.582,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe01","#77ed16","#fbe925","No","pepsin_detector","learning_trial",0.930912190018,0.839497670285,-99,0,0
9,-99,"wug","fatness",9,"tar1",1.519,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fd1a","#003402","#64ec3c","Yes","pepsin_detector","learning_trial",0.0359847670073,0.449972586908,-99,0,1
9,-99,"blicket","fatness",10,"tar2",1.478,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4501","#e5a309","#e04f08","No","pepsin_detector","learning_trial",0.749351288769,0.897644718232,-99,0,1
9,-99,"wug","fatness",11,"tar1",1.96,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fc1b","#195622","#4df277","No","pepsin_detector","learning_trial",0.0641879212214,0.287800268776,-99,1,0
9,-99,"wug","fatness",12,"tar2",1.068,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fe1a","#166a1b","#28a23f","Yes","pepsin_detector","learning_trial",0.135398619502,0.556814187935,-99,1,0
10,-99,"blicket","fatness",1,"tar1",6.591,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fe4601","#ee7f0f","#f54a23","Yes","label_book","learning_trial",0.184064841711,0.412422094188,-99,0,1
10,-99,"wug","fatness",2,"tar1",5.704,"height","bird","crest","tail","crest","wing","body",-99,-99,"#02fd1b","#2fa616","#47d857","Yes","label_book","learning_trial",0.248859895365,0.415229963834,-99,0,1
10,-99,"rambo","fatness",3,"tar2",5.422,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#9df90c","#e8f920","No","label_book","learning_trial",0.357458717168,0.198693900673,-99,0,1
10,-99,"wug","fatness",4,"tar1",3.575,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fc1b","#2c7824","#4a994e","No","label_book","learning_trial",0.653919816333,0.94212509149,-99,0,0
10,-99,"rambo","fatness",5,"tar2",4.734,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fcfc00","#e55819","#e7d71a","No","label_book","learning_trial",0.176152400206,0.259048534555,-99,0,0
10,-99,"wug","fatness",6,"tar2",4.233,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fd1a","#0a6904","#4a8d34","No","label_book","learning_trial",0.880743354138,0.54959643722,-99,0,0
10,-99,"wug","fatness",7,"tar2",3.881,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fd1a","#0a2a0b","#258311","No","label_book","learning_trial",0.147310407319,0.906215894124,-99,0,0
